municipio;RP
Campo do Brito (SE);1,158349155
Capinzal do Norte (MA);1,157988414
Triunfo (RS);1,157532203
Alvorada de Minas (MG);1,157120999
Morros (MA);1,155816803
Santana do Mundaú (AL);1,15574768
Rio Doce (MG);1,155633613
Campinas (SP);1,155424553
Nova Rosalândia (TO);1,15518878
Campos dos Goytacazes (RJ);1,154847461
Piraí do Norte (BA);1,154035431
Apiaí (SP);1,153883344
Mirinzal (MA);1,153668861
General Câmara (RS);1,153526031
Itapajé (CE);1,152977495
Wanderley (BA);1,152373079
Balneário Piçarras (SC);1,151576507
Baixa Grande do Ribeiro (PI);1,151423374
Cajapió (MA);1,151193957
Quixabeira (BA);1,151186021
Lagoa de Velhos (RN);1,15115821
Novo Oriente de Minas (MG);1,150373966
Choró (CE);1,150072097
Maria da Fé (MG);1,149664564
Lages (SC);1,149393296
Santo Amaro das Brotas (SE);1,149370182
Maragogipe (BA);1,14898534
Esperança (PB);1,148936111
São Mateus do Maranhão (MA);1,148075783
Costa Rica (MS);1,147902915
Passo Fundo (RS);1,147613596
Umbaúba (SE);1,147280196
Damolândia (GO);1,146799409
Aracoiaba (CE);1,146516791
Arvorezinha (RS);1,145135875
Diamante do Sul (PR);1,144893404
Jaguaribe (CE);1,144047889
São João do Araguaia (PA);1,143106554
Itaguatins (TO);1,142700358
Mantena (MG);1,142268489
Montenegro (RS);1,141964366
Alvinlândia (SP);1,141331041
Macururé (BA);1,140306609
Lagoa da Prata (MG);1,139692817
Itarantim (BA);1,138794476
São José do Campestre (RN);1,138781119
São Caetano do Sul (SP);1,138091065
Herculândia (SP);1,138059787
Francisco Morato (SP);1,137557098
São Sebastião do Caí (RS);1,137105673
Boa Vista do Gurupi (MA);1,13701897
Marituba (PA);1,136699865
Vacaria (RS);1,13629697
Florianópolis (SC);1,13581081
Nova Guataporanga (SP);1,135643661
Piraquara (PR);1,135631127
Codó (MA);1,135574096
Buriti Bravo (MA);1,135498914
Eldorado do Sul (RS);1,135426869
Pedro II (PI);1,134070807
Botuverá (SC);1,133489598
Camaragibe (PE);1,132990691
Contagem (MG);1,132442717
Lins (SP);1,13243718
Frecheirinha (CE);1,132409705
Silves (AM);1,13215079
Sapucaia do Sul (RS);1,131841387
Dário Meira (BA);1,131445348
Manaus (AM);1,130638512
Blumenau (SC);1,130440861
Caém (BA);1,13016788
Elesbão Veloso (PI);1,129280536
Cascavel (PR);1,129196801
Frei Inocêncio (MG);1,129007481
Miracatu (SP);1,128574871
Caracaraí (RR);1,128032877
Governador Nunes Freire (MA);1,128010755
Carapicuíba (SP);1,127951363
Bom Progresso (RS);1,127871422
São Gonçalo do Amarante (RN);1,127540377
Itaúba (MT);1,126844334
Cairu (BA);1,12661044
Jaru (RO);1,126479645
Viana (MA);1,125898162
Capão Alto (SC);1,125723095
Serra Nova Dourada (MT);1,125723095
Mossoró (RN);1,125501846
Nova Roma (GO);1,125357126
Coromandel (MG);1,124982847
Senador Alexandre Costa (MA);1,12495107
Toritama (PE);1,124710582
Campo do Tenente (PR);1,124523604
Londrina (PR);1,124224737
Sena Madureira (AC);1,123190811
Porangaba (SP);1,122922521
Santa Cruz do Capibaribe (PE);1,122240084
Três Barras do Paraná (PR);1,122184675
Urbano Santos (MA);1,121880569
Santa Mariana (PR);1,121552244
Piracema (MG);1,121522636
Arcoverde (PE);1,120770852
Almirante Tamandaré (PR);1,120321128
Ponta Porã (MS);1,120315729
Baixo Guandu (ES);1,120254857
Senador La Rocque (MA);1,11997961
Campina Grande do Sul (PR);1,119250041
Prado (BA);1,119194461
São Cristóvão (SE);1,118811835
Maceió (AL);1,118565078
Valença (BA);1,117771867
Jacuizinho (RS);1,11744572
Petrolândia (PE);1,117122243
Montes Claros (MG);1,11712201
Bacabal (MA);1,116920158
São Roque do Canaã (ES);1,116829821
Salinas (MG);1,115832602
Bonfinópolis de Minas (MG);1,114930164
Umarizal (RN);1,114217888
Pedrinhas Paulista (SP);1,114080453
Indaiatuba (SP);1,113847339
Elísio Medrado (BA);1,113756521
Santo Amaro do Maranhão (MA);1,113698381
Apodi (RN);1,113465617
Cotia (SP);1,113157766
Bom Lugar (MA);1,113094201
Mariana (MG);1,112666343
Carvalhópolis (MG);1,111908475
Santo Antônio do Jacinto (MG);1,11187911
Miguelópolis (SP);1,11176809
Cubatão (SP);1,111701099
Itambacuri (MG);1,111438899
Presidente Epitácio (SP);1,111332761
Nova Xavantina (MT);1,10977015
Mirim Doce (SC);1,109583696
Teutônia (RS);1,109522184
Pouso Redondo (SC);1,109418749
Belo Horizonte (MG);1,109346935
Nilópolis (RJ);1,109049011
Laranjal do Jari (AP);1,108443243
São Miguel do Guaporé (RO);1,108292209
Guaraciaba do Norte (CE);1,10824284
São Valério (TO);1,107393818
Petrolina (PE);1,107340902
Salgadinho (PB);1,107268619
Aracaju (SE);1,107127169
Divinópolis (MG);1,106281573
Planura (MG);1,106026729
Itaituba (PA);1,105739899
